Industry,Date,Region,High Wage Count,Employment Count,Cost of Living,Region Population,Year
construction,2014-09-01,Inland Empire,22326,81200.0,59469,4560470,2014
construction,2014-10-01,Inland Empire,22106,80400.0,59469,4560470,2014
construction,2014-11-01,Inland Empire,22078,80300.0,59469,4560470,2014
construction,2014-12-01,Inland Empire,21666,78800.0,59469,4560470,2014
durable goods,2014-01-01,Inland Empire,18571,58800.0,59469,4560470,2014
durable goods,2014-02-01,Inland Empire,18698,59200.0,59469,4560470,2014
durable goods,2014-03-01,Inland Empire,18761,59400.0,59469,4560470,2014
durable goods,2014-04-01,Inland Empire,18729,59300.0,59469,4560470,2014
durable goods,2014-05-01,Inland Empire,18919,59900.0,59469,4560470,2014
durable goods,2014-06-01,Inland Empire,18982,60100.0,59469,4560470,2014
durable goods,2014-07-01,Inland Empire,19045,60300.0,59469,4560470,2014
durable goods,2014-08-01,Inland Empire,19108,60500.0,59469,4560470,2014
durable goods,2014-09-01,Inland Empire,19171,60700.0,59469,4560470,2014
durable goods,2014-10-01,Inland Empire,19298,61100.0,59469,4560470,2014
durable goods,2014-11-01,Inland Empire,19392,61400.0,59469,4560470,2014
durable goods,2014-12-01,Inland Empire,19456,61600.0,59469,4560470,2014
educational services,2014-01-01,Inland Empire,6856,17900.0,59469,4560470,2014
educational services,2014-02-01,Inland Empire,7430,19400.0,59469,4560470,2014
educational services,2014-03-01,Inland Empire,7392,19300.0,59469,4560470,2014
educational services,2014-04-01,Inland Empire,7162,18700.0,59469,4560470,2014
educational services,2014-05-01,Inland Empire,6588,17200.0,59469,4560470,2014
educational services,2014-06-01,Inland Empire,6128,16000.0,59469,4560470,2014
educational services,2014-07-01,Inland Empire,5745,15000.0,59469,4560470,2014
educational services,2014-08-01,Inland Empire,5860,15300.0,59469,4560470,2014
educational services,2014-09-01,Inland Empire,6281,16400.0,59469,4560470,2014
educational services,2014-10-01,Inland Empire,6588,17200.0,59469,4560470,2014
educational services,2014-11-01,Inland Empire,6549,17100.0,59469,4560470,2014
educational services,2014-12-01,Inland Empire,6358,16600.0,59469,4560470,2014
federal government,2014-01-01,Inland Empire,10738,20100.0,59469,4560470,2014
federal government,2014-02-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-03-01,Inland Empire,10738,20100.0,59469,4560470,2014
federal government,2014-04-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-05-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-06-01,Inland Empire,10845,20300.0,59469,4560470,2014
federal government,2014-07-01,Inland Empire,10845,20300.0,59469,4560470,2014
federal government,2014-08-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-09-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-10-01,Inland Empire,10792,20200.0,59469,4560470,2014
federal government,2014-11-01,Inland Empire,10738,20100.0,59469,4560470,2014
federal government,2014-12-01,Inland Empire,10738,20100.0,59469,4560470,2014
financial activities,2014-01-01,Inland Empire,13410,42000.0,59469,4560470,2014
financial activities,2014-02-01,Inland Empire,13410,42000.0,59469,4560470,2014
financial activities,2014-03-01,Inland Empire,13410,42000.0,59469,4560470,2014
financial activities,2014-04-01,Inland Empire,13761,43100.0,59469,4560470,2014
financial activities,2014-05-01,Inland Empire,13793,43200.0,59469,4560470,2014
financial activities,2014-06-01,Inland Empire,13761,43100.0,59469,4560470,2014
financial activities,2014-07-01,Inland Empire,13729,43000.0,59469,4560470,2014
financial activities,2014-08-01,Inland Empire,13729,43000.0,59469,4560470,2014
financial activities,2014-09-01,Inland Empire,13698,42900.0,59469,4560470,2014
financial activities,2014-10-01,Inland Empire,13793,43200.0,59469,4560470,2014
financial activities,2014-11-01,Inland Empire,13825,43300.0,59469,4560470,2014
financial activities,2014-12-01,Inland Empire,13889,43500.0,59469,4560470,2014
health care and social assistance,2014-01-01,Inland Empire,58137,172500.0,59469,4560470,2014
health care and social assistance,2014-02-01,Inland Empire,58306,173000.0,59469,4560470,2014
health care and social assistance,2014-03-01,Inland Empire,58643,174000.0,59469,4560470,2014
health care and social assistance,2014-04-01,Inland Empire,59249,175800.0,59469,4560470,2014
health care and social assistance,2014-05-01,Inland Empire,59620,176900.0,59469,4560470,2014
health care and social assistance,2014-06-01,Inland Empire,59721,177200.0,59469,4560470,2014
health care and social assistance,2014-07-01,Inland Empire,59721,177200.0,59469,4560470,2014
health care and social assistance,2014-08-01,Inland Empire,60362,179100.0,59469,4560470,2014
health care and social assistance,2014-09-01,Inland Empire,60530,179600.0,59469,4560470,2014
health care and social assistance,2014-10-01,Inland Empire,61036,181100.0,59469,4560470,2014
health care and social assistance,2014-11-01,Inland Empire,61373,182100.0,59469,4560470,2014
health care and social assistance,2014-12-01,Inland Empire,61710,183100.0,59469,4560470,2014
local government,2014-01-01,Inland Empire,65399,180500.0,59469,4560470,2014
local government,2014-02-01,Inland Empire,65181,179900.0,59469,4560470,2014
local government,2014-03-01,Inland Empire,66159,182600.0,59469,4560470,2014
local government,2014-04-01,Inland Empire,66630,183900.0,59469,4560470,2014
local government,2014-05-01,Inland Empire,66522,183600.0,59469,4560470,2014
local government,2014-06-01,Inland Empire,66051,182300.0,59469,4560470,2014
local government,2014-07-01,Inland Empire,60797,167800.0,59469,4560470,2014
local government,2014-08-01,Inland Empire,62862,173500.0,59469,4560470,2014
local government,2014-09-01,Inland Empire,64456,177900.0,59469,4560470,2014
local government,2014-10-01,Inland Empire,66522,183600.0,59469,4560470,2014
local government,2014-11-01,Inland Empire,67065,185100.0,59469,4560470,2014
local government,2014-12-01,Inland Empire,66703,184100.0,59469,4560470,2014
management of companies and enterprises,2014-01-01,Inland Empire,2197,5100.0,59469,4560470,2014
management of companies and enterprises,2014-02-01,Inland Empire,2240,5200.0,59469,4560470,2014
management of companies and enterprises,2014-03-01,Inland Empire,2240,5200.0,59469,4560470,2014
management of companies and enterprises,2014-04-01,Inland Empire,2153,5000.0,59469,4560470,2014
management of companies and enterprises,2014-05-01,Inland Empire,2153,5000.0,59469,4560470,2014
management of companies and enterprises,2014-06-01,Inland Empire,2153,5000.0,59469,4560470,2014
management of companies and enterprises,2014-07-01,Inland Empire,2110,4900.0,59469,4560470,2014
management of companies and enterprises,2014-08-01,Inland Empire,2197,5100.0,59469,4560470,2014
management of companies and enterprises,2014-09-01,Inland Empire,2240,5200.0,59469,4560470,2014
management of companies and enterprises,2014-10-01,Inland Empire,2283,5300.0,59469,4560470,2014
management of companies and enterprises,2014-11-01,Inland Empire,2326,5400.0,59469,4560470,2014
management of companies and enterprises,2014-12-01,Inland Empire,2326,5400.0,59469,4560470,2014
mining and logging,2014-01-01,Inland Empire,317,1200.0,59469,4560470,2014
mining and logging,2014-02-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-03-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-04-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-05-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-06-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-07-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-08-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-09-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-10-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-11-01,Inland Empire,344,1300.0,59469,4560470,2014
mining and logging,2014-12-01,Inland Empire,344,1300.0,59469,4560470,2014
nondurable goods,2014-01-01,Inland Empire,8240,30300.0,59469,4560470,2014
nondurable goods,2014-02-01,Inland Empire,8295,30500.0,59469,4560470,2014
nondurable goods,2014-03-01,Inland Empire,8295,30500.0,59469,4560470,2014
nondurable goods,2014-04-01,Inland Empire,8349,30700.0,59469,4560470,2014
nondurable goods,2014-05-01,Inland Empire,8376,30800.0,59469,4560470,2014
nondurable goods,2014-06-01,Inland Empire,8458,31100.0,59469,4560470,2014
nondurable goods,2014-07-01,Inland Empire,8458,31100.0,59469,4560470,2014
nondurable goods,2014-08-01,Inland Empire,8539,31400.0,59469,4560470,2014
nondurable goods,2014-09-01,Inland Empire,8594,31600.0,59469,4560470,2014
nondurable goods,2014-10-01,Inland Empire,8594,31600.0,59469,4560470,2014
nondurable goods,2014-11-01,Inland Empire,8675,31900.0,59469,4560470,2014
nondurable goods,2014-12-01,Inland Empire,8703,32000.0,59469,4560470,2014
other services,2014-01-01,Inland Empire,7848,42100.0,59469,4560470,2014
other services,2014-02-01,Inland Empire,7942,42600.0,59469,4560470,2014
other services,2014-03-01,Inland Empire,8035,43100.0,59469,4560470,2014
other services,2014-04-01,Inland Empire,8147,43700.0,59469,4560470,2014
other services,2014-05-01,Inland Empire,8128,43600.0,59469,4560470,2014
other services,2014-06-01,Inland Empire,8091,43400.0,59469,4560470,2014
other services,2014-07-01,Inland Empire,7997,42900.0,59469,4560470,2014
other services,2014-08-01,Inland Empire,8053,43200.0,59469,4560470,2014
other services,2014-09-01,Inland Empire,8035,43100.0,59469,4560470,2014
other services,2014-10-01,Inland Empire,7960,42700.0,59469,4560470,2014
other services,2014-11-01,Inland Empire,8016,43000.0,59469,4560470,2014
other services,2014-12-01,Inland Empire,7979,42800.0,59469,4560470,2014
professional scientific and technical services,2014-01-01,Inland Empire,12067,40000.0,59469,4560470,2014
professional scientific and technical services,2014-02-01,Inland Empire,12308,40800.0,59469,4560470,2014
professional scientific and technical services,2014-03-01,Inland Empire,12278,40700.0,59469,4560470,2014
professional scientific and technical services,2014-04-01,Inland Empire,12217,40500.0,59469,4560470,2014
professional scientific and technical services,2014-05-01,Inland Empire,11765,39000.0,59469,4560470,2014
professional scientific and technical services,2014-06-01,Inland Empire,11705,38800.0,59469,4560470,2014
professional scientific and technical services,2014-07-01,Inland Empire,11946,39600.0,59469,4560470,2014
professional scientific and technical services,2014-08-01,Inland Empire,11916,39500.0,59469,4560470,2014
professional scientific and technical services,2014-09-01,Inland Empire,11886,39400.0,59469,4560470,2014
professional scientific and technical services,2014-10-01,Inland Empire,11946,39600.0,59469,4560470,2014
professional scientific and technical services,2014-11-01,Inland Empire,12006,39800.0,59469,4560470,2014
professional scientific and technical services,2014-12-01,Inland Empire,11946,39600.0,59469,4560470,2014
retail trade,2014-01-01,Inland Empire,27006,167700.0,59469,4560470,2014
retail trade,2014-02-01,Inland Empire,26636,165400.0,59469,4560470,2014
retail trade,2014-03-01,Inland Empire,26652,165500.0,59469,4560470,2014
retail trade,2014-04-01,Inland Empire,26797,166400.0,59469,4560470,2014
retail trade,2014-05-01,Inland Empire,26781,166300.0,59469,4560470,2014
retail trade,2014-06-01,Inland Empire,26813,166500.0,59469,4560470,2014
retail trade,2014-07-01,Inland Empire,26861,166800.0,59469,4560470,2014
retail trade,2014-08-01,Inland Empire,27038,167900.0,59469,4560470,2014
retail trade,2014-09-01,Inland Empire,26990,167600.0,59469,4560470,2014
retail trade,2014-10-01,Inland Empire,27409,170200.0,59469,4560470,2014
retail trade,2014-11-01,Inland Empire,29019,180200.0,59469,4560470,2014
retail trade,2014-12-01,Inland Empire,29374,182400.0,59469,4560470,2014
state government,2014-01-01,Inland Empire,10072,27800.0,59469,4560470,2014
state government,2014-02-01,Inland Empire,10326,28500.0,59469,4560470,2014
state government,2014-03-01,Inland Empire,10471,28900.0,59469,4560470,2014
state government,2014-04-01,Inland Empire,10398,28700.0,59469,4560470,2014
state government,2014-05-01,Inland Empire,10471,28900.0,59469,4560470,2014
state government,2014-06-01,Inland Empire,10434,28800.0,59469,4560470,2014
state government,2014-07-01,Inland Empire,9782,27000.0,59469,4560470,2014
state government,2014-08-01,Inland Empire,9637,26600.0,59469,4560470,2014
state government,2014-09-01,Inland Empire,9673,26700.0,59469,4560470,2014
state government,2014-10-01,Inland Empire,10289,28400.0,59469,4560470,2014
state government,2014-11-01,Inland Empire,10471,28900.0,59469,4560470,2014
state government,2014-12-01,Inland Empire,10434,28800.0,59469,4560470,2014
total farm,2014-01-01,Inland Empire,1818,14600.0,59469,4560470,2014
total farm,2014-02-01,Inland Empire,1793,14400.0,59469,4560470,2014
total farm,2014-03-01,Inland Empire,1905,15300.0,59469,4560470,2014
total farm,2014-04-01,Inland Empire,1780,14300.0,59469,4560470,2014
total farm,2014-05-01,Inland Empire,2129,17100.0,59469,4560470,2014
total farm,2014-06-01,Inland Empire,2179,17500.0,59469,4560470,2014
total farm,2014-07-01,Inland Empire,1743,14000.0,59469,4560470,2014
total farm,2014-08-01,Inland Empire,1432,11500.0,59469,4560470,2014
total farm,2014-09-01,Inland Empire,1631,13100.0,59469,4560470,2014
total farm,2014-10-01,Inland Empire,1656,13300.0,59469,4560470,2014
total farm,2014-11-01,Inland Empire,1656,13300.0,59469,4560470,2014
total farm,2014-12-01,Inland Empire,1830,14700.0,59469,4560470,2014
transportation warehousing and utilities,2014-01-01,Inland Empire,18696,81700.0,59469,4560470,2014
transportation warehousing and utilities,2014-02-01,Inland Empire,18696,81700.0,59469,4560470,2014
transportation warehousing and utilities,2014-03-01,Inland Empire,18627,81400.0,59469,4560470,2014
transportation warehousing and utilities,2014-04-01,Inland Empire,18787,82100.0,59469,4560470,2014
transportation warehousing and utilities,2014-05-01,Inland Empire,19130,83600.0,59469,4560470,2014
transportation warehousing and utilities,2014-06-01,Inland Empire,19313,84400.0,59469,4560470,2014
transportation warehousing and utilities,2014-07-01,Inland Empire,19176,83800.0,59469,4560470,2014
transportation warehousing and utilities,2014-08-01,Inland Empire,19908,87000.0,59469,4560470,2014
transportation warehousing and utilities,2014-09-01,Inland Empire,20503,89600.0,59469,4560470,2014
transportation warehousing and utilities,2014-10-01,Inland Empire,21007,91800.0,59469,4560470,2014
transportation warehousing and utilities,2014-11-01,Inland Empire,21785,95200.0,59469,4560470,2014
transportation warehousing and utilities,2014-12-01,Inland Empire,22059,96400.0,59469,4560470,2014
wholesale trade,2014-01-01,Inland Empire,15156,57400.0,59469,4560470,2014
wholesale trade,2014-02-01,Inland Empire,15261,57800.0,59469,4560470,2014
wholesale trade,2014-03-01,Inland Empire,15341,58100.0,59469,4560470,2014
wholesale trade,2014-04-01,Inland Empire,15473,58600.0,59469,4560470,2014
wholesale trade,2014-05-01,Inland Empire,15578,59000.0,59469,4560470,2014
wholesale trade,2014-06-01,Inland Empire,15552,58900.0,59469,4560470,2014
wholesale trade,2014-07-01,Inland Empire,15631,59200.0,59469,4560470,2014
wholesale trade,2014-08-01,Inland Empire,15578,59000.0,59469,4560470,2014
wholesale trade,2014-09-01,Inland Empire,15631,59200.0,59469,4560470,2014
wholesale trade,2014-10-01,Inland Empire,15763,59700.0,59469,4560470,2014
wholesale trade,2014-11-01,Inland Empire,15842,60000.0,59469,4560470,2014
wholesale trade,2014-12-01,Inland Empire,15895,60200.0,59469,4560470,2014
accommodation and food services,2014-01-01,Kern,2444,20300.0,53232,887641,2014
accommodation and food services,2014-02-01,Kern,2480,20600.0,53232,887641,2014
accommodation and food services,2014-03-01,Kern,2528,21000.0,53232,887641,2014
accommodation and food services,2014-04-01,Kern,2564,21300.0,53232,887641,2014
accommodation and food services,2014-05-01,Kern,2588,21500.0,53232,887641,2014
accommodation and food services,2014-06-01,Kern,2612,21700.0,53232,887641,2014
accommodation and food services,2014-07-01,Kern,2624,21800.0,53232,887641,2014
accommodation and food services,2014-08-01,Kern,2624,21800.0,53232,887641,2014
accommodation and food services,2014-09-01,Kern,2624,21800.0,53232,887641,2014
accommodation and food services,2014-10-01,Kern,2576,21400.0,53232,887641,2014
accommodation and food services,2014-11-01,Kern,2600,21600.0,53232,887641,2014
accommodation and food services,2014-12-01,Kern,2636,21900.0,53232,887641,2014
administrative and support and waste services,2014-01-01,Kern,5073,11400.0,53232,887641,2014
administrative and support and waste services,2014-02-01,Kern,5117,11500.0,53232,887641,2014
administrative and support and waste services,2014-03-01,Kern,5162,11600.0,53232,887641,2014
administrative and support and waste services,2014-04-01,Kern,5162,11600.0,53232,887641,2014
administrative and support and waste services,2014-05-01,Kern,5384,12100.0,53232,887641,2014
administrative and support and waste services,2014-06-01,Kern,5384,12100.0,53232,887641,2014
administrative and support and waste services,2014-07-01,Kern,5384,12100.0,53232,887641,2014
administrative and support and waste services,2014-08-01,Kern,5384,12100.0,53232,887641,2014
administrative and support and waste services,2014-09-01,Kern,5473,12300.0,53232,887641,2014
administrative and support and waste services,2014-10-01,Kern,5562,12500.0,53232,887641,2014
administrative and support and waste services,2014-11-01,Kern,5785,13000.0,53232,887641,2014
administrative and support and waste services,2014-12-01,Kern,5651,12700.0,53232,887641,2014
arts entertainment and recreation,2014-01-01,Kern,314,2300.0,53232,887641,2014
arts entertainment and recreation,2014-02-01,Kern,314,2300.0,53232,887641,2014
arts entertainment and recreation,2014-03-01,Kern,328,2400.0,53232,887641,2014
arts entertainment and recreation,2014-04-01,Kern,342,2500.0,53232,887641,2014
arts entertainment and recreation,2014-05-01,Kern,342,2500.0,53232,887641,2014
arts entertainment and recreation,2014-06-01,Kern,328,2400.0,53232,887641,2014
arts entertainment and recreation,2014-07-01,Kern,314,2300.0,53232,887641,2014
arts entertainment and recreation,2014-08-01,Kern,301,2200.0,53232,887641,2014
arts entertainment and recreation,2014-09-01,Kern,301,2200.0,53232,887641,2014
arts entertainment and recreation,2014-10-01,Kern,301,2200.0,53232,887641,2014
arts entertainment and recreation,2014-11-01,Kern,301,2200.0,53232,887641,2014
arts entertainment and recreation,2014-12-01,Kern,287,2100.0,53232,887641,2014
construction,2014-01-01,Kern,5339,17700.0,53232,887641,2014
construction,2014-02-01,Kern,5339,17700.0,53232,887641,2014
construction,2014-03-01,Kern,5369,17800.0,53232,887641,2014
construction,2014-04-01,Kern,5430,18000.0,53232,887641,2014
construction,2014-05-01,Kern,5520,18300.0,53232,887641,2014
construction,2014-06-01,Kern,5550,18400.0,53232,887641,2014
construction,2014-07-01,Kern,5581,18500.0,53232,887641,2014
construction,2014-08-01,Kern,5611,18600.0,53232,887641,2014
construction,2014-09-01,Kern,5550,18400.0,53232,887641,2014
construction,2014-10-01,Kern,5520,18300.0,53232,887641,2014
construction,2014-11-01,Kern,5520,18300.0,53232,887641,2014
construction,2014-12-01,Kern,5460,18100.0,53232,887641,2014
durable goods,2014-01-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-02-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-03-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-04-01,Kern,2366,5700.0,53232,887641,2014
durable goods,2014-05-01,Kern,2366,5700.0,53232,887641,2014
durable goods,2014-06-01,Kern,2366,5700.0,53232,887641,2014
durable goods,2014-07-01,Kern,2366,5700.0,53232,887641,2014
durable goods,2014-08-01,Kern,2366,5700.0,53232,887641,2014
durable goods,2014-09-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-10-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-11-01,Kern,2325,5600.0,53232,887641,2014
durable goods,2014-12-01,Kern,2325,5600.0,53232,887641,2014
educational services,2014-01-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-02-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-03-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-04-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-05-01,Kern,579,1400.0,53232,887641,2014
educational services,2014-06-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-07-01,Kern,579,1400.0,53232,887641,2014
educational services,2014-08-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-09-01,Kern,620,1500.0,53232,887641,2014
educational services,2014-10-01,Kern,579,1400.0,53232,887641,2014
educational services,2014-11-01,Kern,579,1400.0,53232,887641,2014
educational services,2014-12-01,Kern,538,1300.0,53232,887641,2014
federal government,2014-01-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-02-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-03-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-04-01,Kern,5657,9500.0,53232,887641,2014
federal government,2014-05-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-06-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-07-01,Kern,5776,9700.0,53232,887641,2014
federal government,2014-08-01,Kern,5776,9700.0,53232,887641,2014
federal government,2014-09-01,Kern,5776,9700.0,53232,887641,2014
federal government,2014-10-01,Kern,5717,9600.0,53232,887641,2014
federal government,2014-11-01,Kern,5776,9700.0,53232,887641,2014
federal government,2014-12-01,Kern,5776,9700.0,53232,887641,2014
finance and insurance,2014-01-01,Kern,1840,5100.0,53232,887641,2014
finance and insurance,2014-02-01,Kern,1840,5100.0,53232,887641,2014
finance and insurance,2014-03-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-04-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-05-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-06-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-07-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-08-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-09-01,Kern,1767,4900.0,53232,887641,2014
finance and insurance,2014-10-01,Kern,1804,5000.0,53232,887641,2014
finance and insurance,2014-11-01,Kern,1767,4900.0,53232,887641,2014
finance and insurance,2014-12-01,Kern,1767,4900.0,53232,887641,2014
health care and social assistance,2014-01-01,Kern,9471,30700.0,53232,887641,2014
health care and social assistance,2014-02-01,Kern,9532,30900.0,53232,887641,2014
health care and social assistance,2014-03-01,Kern,9563,31000.0,53232,887641,2014
health care and social assistance,2014-04-01,Kern,9594,31100.0,53232,887641,2014
health care and social assistance,2014-05-01,Kern,9656,31300.0,53232,887641,2014
health care and social assistance,2014-06-01,Kern,9563,31000.0,53232,887641,2014
health care and social assistance,2014-07-01,Kern,9532,30900.0,53232,887641,2014
health care and social assistance,2014-08-01,Kern,9625,31200.0,53232,887641,2014
health care and social assistance,2014-09-01,Kern,9625,31200.0,53232,887641,2014
health care and social assistance,2014-10-01,Kern,9656,31300.0,53232,887641,2014
health care and social assistance,2014-11-01,Kern,9687,31400.0,53232,887641,2014
health care and social assistance,2014-12-01,Kern,9718,31500.0,53232,887641,2014
information,2014-01-01,Kern,706,2400.0,53232,887641,2014
information,2014-02-01,Kern,706,2400.0,53232,887641,2014
information,2014-03-01,Kern,706,2400.0,53232,887641,2014
information,2014-04-01,Kern,706,2400.0,53232,887641,2014
information,2014-05-01,Kern,706,2400.0,53232,887641,2014
information,2014-06-01,Kern,706,2400.0,53232,887641,2014
information,2014-07-01,Kern,677,2300.0,53232,887641,2014
information,2014-08-01,Kern,706,2400.0,53232,887641,2014
information,2014-09-01,Kern,677,2300.0,53232,887641,2014
information,2014-10-01,Kern,706,2400.0,53232,887641,2014
information,2014-11-01,Kern,706,2400.0,53232,887641,2014
information,2014-12-01,Kern,706,2400.0,53232,887641,2014
local government,2014-01-01,Kern,7996,40600.0,53232,887641,2014
local government,2014-02-01,Kern,8094,41100.0,53232,887641,2014
local government,2014-03-01,Kern,8232,41800.0,53232,887641,2014
local government,2014-04-01,Kern,8291,42100.0,53232,887641,2014
local government,2014-05-01,Kern,8252,41900.0,53232,887641,2014
local government,2014-06-01,Kern,7799,39600.0,53232,887641,2014
local government,2014-07-01,Kern,7149,36300.0,53232,887641,2014
local government,2014-08-01,Kern,7464,37900.0,53232,887641,2014
local government,2014-09-01,Kern,8055,40900.0,53232,887641,2014
local government,2014-10-01,Kern,8291,42100.0,53232,887641,2014
local government,2014-11-01,Kern,8449,42900.0,53232,887641,2014
local government,2014-12-01,Kern,8390,42600.0,53232,887641,2014
management of companies and enterprises,2014-01-01,Kern,1637,3800.0,53232,887641,2014
management of companies and enterprises,2014-02-01,Kern,1637,3800.0,53232,887641,2014
management of companies and enterprises,2014-03-01,Kern,1680,3900.0,53232,887641,2014
management of companies and enterprises,2014-04-01,Kern,1680,3900.0,53232,887641,2014
management of companies and enterprises,2014-05-01,Kern,1680,3900.0,53232,887641,2014
management of companies and enterprises,2014-06-01,Kern,1680,3900.0,53232,887641,2014
management of companies and enterprises,2014-07-01,Kern,1680,3900.0,53232,887641,2014
